Time [s],Packet ID,MOSI,MISO
11.021218875000001,860,0x44,0xFF
11.021219875000000,860,0xFF,0x00
11.021224500000001,861,0x44,0xFF
11.021225500000000,861,0xFF,0x00
11.021230250000000,862,0x44,0xFF
11.021231250000000,862,0xFF,0x00
11.021235875000000,863,0x44,0xFF
11.021236875000000,863,0xFF,0x00
11.021242375000000,864,0x44,0xFF
11.021243374999999,864,0xFF,0xFF
11.021249375000000,865,0x05,0xFF
11.021250374999999,865,0xE9,0xFF
11.021251375000000,865,0x77,0xFF
11.021252375000000,865,0x05,0xFF
11.021253375000001,865,0x4F,0xFF
11.021254375000000,865,0x84,0xFF
11.021255375000001,865,0xEE,0xFF
11.021256375000000,865,0x35,0xFF
11.021261750000001,866,0x44,0xFF
11.021262750000000,866,0xFF,0x00
11.021267500000000,867,0x44,0xFF
11.021268500000000,867,0xFF,0x00
11.021273125000000,868,0x44,0xFF
11.021274125000000,868,0xFF,0x00
11.021278875000000,869,0x44,0xFF
11.021279874999999,869,0xFF,0x00
11.021284625000000,870,0x44,0xFF
11.021285625000001,870,0xFF,0x00
11.021290250000000,871,0x44,0xFF
11.021291250000001,871,0xFF,0x00
11.021296000000000,872,0x44,0xFF
11.021297000000001,872,0xFF,0x00
11.021301625000000,873,0x44,0xFF
11.021302625000001,873,0xFF,0x00
11.021307250000000,874,0x44,0xFF
11.021308250000001,874,0xFF,0x00
11.021312875000000,875,0x44,0xFF
11.021313875000001,875,0xFF,0x00
11.021318500000000,876,0x44,0xFF
11.021319500000001,876,0xFF,0xFF
11.021325750000001,877,0xE2,0xFF
11.021326750000000,877,0x43,0xFF
11.021327749999999,877,0xC3,0xFF
11.021328750000000,877,0x8D,0xFF
11.021329750000000,877,0xFB,0xFF
11.021330750000001,877,0xAD,0xFF
11.021331750000000,877,0x54,0xFF
11.021332749999999,877,0x25,0xFF
11.021338000000000,878,0x44,0xFF
11.021338999999999,878,0xFF,0x00
11.021343625000000,879,0x44,0xFF
11.021344624999999,879,0xFF,0x00
11.021349250000000,880,0x44,0xFF
11.021350249999999,880,0xFF,0x00
11.021354875000000,881,0x44,0xFF
11.021355874999999,881,0xFF,0x00
11.021360541666667,882,0x44,0xFF
11.021361541666666,882,0xFF,0x00
11.021366166666667,883,0x44,0xFF
11.021367166666666,883,0xFF,0x00
11.021371791666667,884,0x44,0xFF
11.021372791666666,884,0xFF,0x00
11.021377541666666,885,0x44,0xFF
11.021378541666667,885,0xFF,0x00
11.021383166666666,886,0x44,0xFF
11.021384166666667,886,0xFF,0x00
11.021388916666666,887,0x44,0xFF
11.021389916666667,887,0xFF,0x00
11.021394541666666,888,0x44,0xFF
11.021395541666667,888,0xFF,0x00
11.021400166666666,889,0x44,0xFF
11.021401166666667,889,0xFF,0x00
11.021405791666666,890,0x44,0xFF
11.021406791666667,890,0xFF,0x00
11.021412541666667,891,0x44,0xFF
11.021413541666666,891,0xFF,0xFF
11.021419541666667,892,0x05,0xFF
11.021420541666666,892,0x14,0xFF
11.021421541666667,892,0x06,0xFF
11.021422541666666,892,0x5E,0xFF
11.021423541666667,892,0x39,0xFF
11.021424541666667,892,0x36,0xFF
11.021425541666666,892,0x2F,0xFF
11.021426541666667,892,0x45,0xFF
11.021431791666666,893,0x44,0xFF
11.021432791666667,893,0xFF,0x00
11.021437416666666,894,0x44,0xFF
11.021438416666667,894,0xFF,0x00
11.021443166666666,895,0x44,0xFF
11.021444166666667,895,0xFF,0x00
11.021448791666666,896,0x44,0xFF
11.021449791666667,896,0xFF,0x00
11.021454416666666,897,0x44,0xFF
11.021455416666667,897,0xFF,0x00
11.021460041666666,898,0x44,0xFF
11.021461041666667,898,0xFF,0x00
11.021465666666666,899,0x44,0xFF
11.021466666666667,899,0xFF,0x00
11.021471416666667,900,0x44,0xFF
11.021472416666667,900,0xFF,0x00
11.021477041666667,901,0x44,0xFF
11.021478041666667,901,0xFF,0x00
11.021482791666667,902,0x44,0xFF
11.021483791666666,902,0xFF,0x00
11.021488416666667,903,0x44,0xFF
11.021489416666666,903,0xFF,0xFF
11.021495416666667,904,0xEA,0xFF
11.021496416666666,904,0x0C,0xFF
11.021497416666667,904,0x1C,0xFF
11.021498416666667,904,0x74,0xFF
11.021499416666666,904,0xD0,0xFF
11.021500416666667,904,0x11,0xFF
11.021501416666666,904,0xFC,0xFF
11.021502416666667,904,0x32,0xFF
11.021507666666666,905,0x44,0xFF
11.021508666666668,905,0xFF,0x00
11.021513416666666,906,0x44,0xFF
11.021514416666667,906,0xFF,0x00
11.021519041666666,907,0x44,0xFF
11.021520041666667,907,0xFF,0x00
11.021524666666666,908,0x44,0xFF
11.021525666666667,908,0xFF,0x00
11.021530416666666,909,0x44,0xFF
11.021531416666667,909,0xFF,0x00
11.021536041666666,910,0x44,0xFF
11.021537041666667,910,0xFF,0x00
11.021541666666666,911,0x44,0xFF
11.021542666666667,911,0xFF,0x00
11.021547291666666,912,0x44,0xFF
11.021548291666667,912,0xFF,0x00
11.021552916666666,913,0x44,0xFF
11.021553916666667,913,0xFF,0x00
11.021558666666667,914,0x44,0xFF
11.021559666666667,914,0xFF,0x00
11.021564416666667,915,0x44,0xFF
11.021565416666666,915,0xFF,0x00
11.021570041666667,916,0x44,0xFF
11.021571041666666,916,0xFF,0x00
11.021575791666667,917,0x44,0xFF
11.021576791666666,917,0xFF,0x00
11.021582166666667,918,0x44,0xFF
11.021583166666666,918,0xFF,0xFF
11.021589166666667,919,0x05,0xFF
11.021590166666666,919,0xDA,0xFF
11.021591166666667,919,0x38,0xFF
11.021592166666666,919,0xBA,0xFF
11.021593166666667,919,0x0E,0xFF
11.021594166666667,919,0x3C,0xFF
11.021595166666666,919,0xE7,0xFF
11.021596166666667,919,0x8B,0xFF
11.021601416666666,920,0x44,0xFF
11.021602416666667,920,0xFF,0x00
11.021607041666666,921,0x44,0xFF
11.021608041666667,921,0xFF,0x00
11.021612791666668,922,0x44,0xFF
11.021613791666667,922,0xFF,0x00
11.021618416666668,923,0x44,0xFF
11.021619416666667,923,0xFF,0x00
11.021624041666668,924,0x44,0xFF
11.021625041666667,924,0xFF,0x00
11.021629666666668,925,0x44,0xFF
11.021630666666667,925,0xFF,0x00
11.021635291666666,926,0x44,0xFF
11.021636291666667,926,0xFF,0x00
11.021640916666666,927,0x44,0xFF
